edgeid,source,target,date,value,type
121,816,338.0,2020/7/1,1.0,Directed
122,816,374.0,2020/7/1,1.0,Directed
123,816,404.0,2020/7/1,1.0,Directed
124,816,435.0,2020/7/1,1.0,Directed
125,816,652.0,2020/7/1,1.0,Directed
126,818,515.0,2020/7/1,1.0,Directed
127,818,652.0,2020/7/1,1.0,Directed
128,818,147.0,2020/7/1,1.0,Directed
129,118,815.0,2020/7/1,1.0,Directed
130,118,828.0,2020/7/1,1.0,Directed
131,147,20.0,2020/7/1,1.0,Directed
132,147,40.0,2020/7/1,1.0,Directed
133,657,175.0,2020/7/1,1.0,Directed
134,282,147.0,2020/7/1,1.0,Directed
135,315,337.0,2020/7/1,1.0,Directed
136,315,815.0,2020/7/1,1.0,Directed
137,315,508.0,2020/7/1,1.0,Directed
138,330,243.0,2020/7/1,1.0,Directed
139,342,815.0,2020/7/1,1.0,Directed
140,365,337.0,2020/7/1,1.0,Directed
141,821,377.0,2020/7/1,1.0,Directed
142,412,656.0,2020/7/1,1.0,Directed
143,300,656.0,2020/7/1,1.0,Directed
144,412,300.0,2020/7/1,1.0,Directed
145,461,136.0,2020/7/1,1.0,Directed
146,461,515.0,2020/7/1,1.0,Directed
147,461,828.0,2020/7/1,1.0,Directed
148,1133,815.0,2020/7/1,1.0,Directed
149,1137,821.0,2020/7/1,1.0,Directed
150,642,147.0,2020/7/1,1.0,Directed
151,656,175.0,2020/7/1,1.0,Directed
152,656,657.0,2020/7/1,1.0,Directed
153,663,515.0,2020/7/1,1.0,Directed
154,101,688.0,2020/7/3,1.0,Directed
155,288,688.0,2020/7/3,1.0,Directed
156,461,688.0,2020/7/3,1.0,Directed
157,474,688.0,2020/7/3,1.0,Directed
158,1127,688.0,2020/7/3,1.0,Directed
159,809,829.0,2020/7/10,1.0,Directed
160,461,829.0,2020/7/10,1.0,Directed
161,809,830.0,2020/7/12,1.0,Directed
162,101,689.0,2020/7/12,1.0,Directed
163,118,830.0,2020/7/12,1.0,Directed
164,461,689.0,2020/7/12,1.0,Directed
165,461,830.0,2020/7/12,1.0,Directed
166,515,689.0,2020/7/12,1.0,Directed
167,1131,689.0,2020/7/12,1.0,Directed
168,809,831.0,2020/7/14,1.0,Directed
169,461,831.0,2020/7/14,1.0,Directed
170,101,690.0,2020/7/17,1.0,Directed
171,134,690.0,2020/7/17,1.0,Directed
172,248,690.0,2020/7/17,1.0,Directed
173,248,134.0,2020/7/17,1.0,Directed
174,282,690.0,2020/7/17,1.0,Directed
175,461,690.0,2020/7/17,1.0,Directed
176,1131,690.0,2020/7/17,1.0,Directed
177,101,691.0,2020/7/18,1.0,Directed
178,147,691.0,2020/7/18,1.0,Directed
179,461,691.0,2020/7/18,1.0,Directed
180,1128,691.0,2020/7/18,1.0,Directed
181,1129,691.0,2020/7/18,1.0,Directed
182,101,692.0,2020/7/25,1.0,Directed
183,175,692.0,2020/7/25,1.0,Directed
184,461,692.0,2020/7/25,1.0,Directed
185,1129,692.0,2020/7/25,1.0,Directed
186,656,692.0,2020/7/25,1.0,Directed
187,657,692.0,2020/7/25,1.0,Directed
188,136,693.0,2020/7/31,1.0,Directed
189,282,693.0,2020/7/31,1.0,Directed
190,461,693.0,2020/7/31,1.0,Directed
191,1131,693.0,2020/7/31,1.0,Directed
192,690,199.0,2020/8/1,1.0,Directed
193,691,330.0,2020/8/1,1.0,Directed
194,755,330.0,2020/8/1,1.0,Directed
195,330,768.0,2020/8/1,1.0,Directed
196,816,420.0,2020/8/1,1.0,Directed
197,816,673.0,2020/8/1,1.0,Directed
198,816,199.0,2020/8/1,1.0,Directed
199,816,330.0,2020/8/1,1.0,Directed
200,816,453.0,2020/8/1,1.0,Directed
201,818,199.0,2020/8/1,1.0,Directed
202,818,330.0,2020/8/1,1.0,Directed
203,90,668.0,2020/8/1,1.0,Directed
204,668,827.0,2020/8/1,1.0,Directed
205,101,668.0,2020/8/1,1.0,Directed
206,1039,330.0,2020/8/1,1.0,Directed
207,282,420.0,2020/8/1,1.0,Directed
208,282,453.0,2020/8/1,1.0,Directed
209,315,668.0,2020/8/1,1.0,Directed
210,315,673.0,2020/8/1,1.0,Directed
211,315,330.0,2020/8/1,1.0,Directed
212,330,558.0,2020/8/1,1.0,Directed
213,461,467.0,2020/8/1,1.0,Directed
214,467,263.0,2020/8/1,1.0,Directed
215,474,808.0,2020/8/1,1.0,Directed
216,1127,673.0,2020/8/1,1.0,Directed
217,1129,330.0,2020/8/1,1.0,Directed
218,659,388.0,2020/8/1,1.0,Directed
219,578,668.0,2020/8/1,1.0,Directed
220,816,718.0,2020/8/11,1.0,Directed
221,101,816.0,2020/8/11,1.0,Directed
222,175,816.0,2020/8/11,1.0,Directed
223,186,816.0,2020/8/11,1.0,Directed
